Document Number,Sl_no,Question,Question_Type
14,10,"How does the section labeled ""WOMEN'S WORK TENDS TO BE MORE VULNERABLE AND LESS LUCRATIVE THAN MEN'S."" explain the nature of women's work and its impact on the labor market",Explanation
14,11,"What is the main message in the infographic titled ""WOMEN'S WORK IS GENERALLY MORE VULNERABLE AND LESS LUCRATIVE THAN MEN'S.""\nWhat are some potential causes for the challenges faced by women? What can be done to address these issues?",Explanation
14,12,"What is the main message in the infographic titled ""THE NATURE OF INFORMAL WORK IS CHANGING, WITH RAPID GROWTH OF ON-DEMAND SERVICES""? What are some of the potential causes and effects mentioned for these changes?",Explanation
14,13,"How does the section on ""AVENUES FOR GE TEAM'S FUTURE EXPLORATION (D2)."" propose to further explore an area related to women's economic empowerment strategy? What are some of the potential advantages or disadvantages for this approach?",Application
14,14,"What is the main message in the infographic titled ""THE NATURE OF INFORMAL WORK IS CHANGING, WITH RAPID GROWTH OF ON-DEMAND SERVICES""? What are some of the potential causes and effects mentioned for these changes?",Explanation
14,15,Why is it important to understand the relationship between legal protections in the workplace and economic outcomes. How can these two areas be compared? What is the implication of the correlation between legal provisions regarding family status during hiring and female labor force participation,Application
14,16,"What is the main message from the section titled ""WOMEN'S LEGAL PROTECTIONS IN THE WORKPLACE IMPROVE FLPWR, BUT IT MUST BE IMPLEMENTED PROPERLY.""? How would the gender gap in access to employment be addressed and what would be the implication on male labor force participation if this strategy is adopted?",Application
14,17,"What are some of the policy issues mentioned in the context that affect women's ability to get a pension? What can be done to address these challenges, assuming the provision of maternity leave and family status inquiry are implemented effectively?",Application
14,18,How do legal protections on prospective employers asking about family status compare across South Asia and Sub- Saharan Africa? What is the implication for the female labor force participation rates in these two regions if gender equality legislation is implemented that requires a response from the employer. Can the gender gap be attributed to the shift towards women's employment?,Application
14,19,"What are some of the reasons mentioned why there is no change in legal provisions on maternity leave in the developed economies, despite having more favorable laws than those that exist for low-income countries. How would this impact the female labor force participation rates? What is the implication of such a gap in access to paid parental leave for low-income countries?",Inference
14,20,"What are some of the suggestions mentioned by the context on how to address the challenges faced by women, particularly if they have no experience or training and cannot afford the costs associated with getting the training? How does it expect these issues will be addressed? What is the implication for the future labor market in Sub- Saharan Africa and South Asia?",Inference
15,1,What is Luwei Pearson's job?,Factual
15,2,How much does UNICEF spend per year for the health program in Ethiopia?,Factual
15,3,"What is the top priority of Luwei Pearson's work at UNICEF, according to this interview?",Factual
15,4,"What are the three priorities of the Ethiopian health system that Luwei Pearson suggests may provide an opportunity for improvement in MNCH according to this interview? (i.e. Malaria, Diarrhea, and Pneumonia)?",Factual
15,5,What is a major challenge with the program that BMGF funds? (According to Luwei Pearson),Factual
15,6,What is one of the challenges with GAVI's provision of motorcycles for health workers?,Factual
15,7,"How much money does Luwei Pearson's team, UNICEF HPE, budget to spend on each health post in a year in Ethiopia?",Factual
15,8,What is one of the major issues that UNICEF faces with regard to supervision of Health Extension Workers?,Factual
15,9,"Is there any major obstacle in the implementation of diarrheal disease prevention program, according to this interview? (According to Luwei Pearson)",Factual
15,10,What is one of the main issues that affect quality of health service delivery at hospitals and health centers?,Factual
15,11,"According to Luwei Pearson, what are some of the factors that influence the government? (i.e. UN organizations, PEPFAR, MDG Fund, NGO interventions)",Factual
15,12,What is one of the major issues with health extension workers according to this interview?,Factual
15,13,Which three programs does UNICEF prioritize in Ethiopia? (According to this interview)?,Factual
15,14,What is the major issue that Luwei Pearson suggests might be a challenge with regard to the 48 hours after birth program funded by BMGF?,Factual
15,15,What are the two top priorities of the government's announcement with regard to health post and HEW treatment? (According to this interview),Factual
15,16,"What is Luwei Pearson's role at UNICEF, according to this interview?",Factual
15,17,Does the government charge a fee for consumables at health centers? (According to this interview),Factual
15,18,"How many supervisors does UNICEF have in total, according to this interview?",Factual
15,19,What are the three areas of the health system that Luwei Pearson suggests might not be sustainable and may not make sense if done by BMGF? (According to the interview),Analytical
15,20,"How do you think the government's announcement of HEW treatment at Health Posts will get better soon, in Luwei Pearson's view?",Analytical
16,1,What is the estimated market size for 3D printing technology in 2018?,Factual
16,2,What is the growth rate of the global 3D printing market during the forecast period 2014-2020?,Factual
16,3,Who are the top three companies in the 3D printing industry?,Factual
16,4,What is the purpose of the 3D printing technology used by the dental industry to create dental models and aligners? What benefits does this offer for restorative labs?,Application
16,5,"How do the different 3D printing technologies such as Selective Laser Sintering (SLS) benefit the aerospace, automotive, healthcare, energy, and jewelry industries? What is the purpose of this growth?",Factual
16,6,What are the top three factors driving companies to pursue 3D printing technology? How do these differ from those that are driving adoption for traditional 3D printing companies?,Comparison
16,7,"When was the first stereolithographic machine launched by 3D systems? What is the purpose of this, and how does it benefit the healthcare sector in the long run?",Factual
16,8,What are the key activities that have contributed to the progress of 3D printing technology since its invention in 1984? How do these developments impact the growth of 3D printing in the healthcare sector?,Factual
16,9,"What are some of the key advantages of using 3D bioprinting technology to create cell patterns within confined spaces? What is the purpose of this, and how does it aid in creating personalized 3D printed oral tablets?",Application
16,10,"What are some of the key challenges faced by the healthcare sector in adopting 3D printing technology, including bioprinting? What is the purpose of these and what do they indicate about the need for more research or development on this technology?",Factual
16,11,"What are some of the key benefits that 3D printing offers over traditional manufacturing in the healthcare sector? What is the purpose of this growth, and what does it indicate for the market size?",Summary
16,12,"How do different countries compare when it comes to their market share in 3D printing technology during 2016? Which country has the highest market share at 40%, and which is in the early stages of adopting this technology?",Factual
16,13,"What are some of the key applications of 3D printing bioprinting in tissue engineering, including its use for drug discovery and pre-clinical testing? What is the purpose of these, and how do they benefit the healthcare sector?",Summary
16,14,"What are some of the key applications of 3D printing technology in the healthcare industry, including dental implants, prosthetics, tissue engineering, medical models, and drugs? What is the purpose of this growth for the market size?",Summary
16,15,"What are some of the key applications or products that Stratasys offers in the healthcare sector, including dental applications? How do its patented PolyJet and Fused Deposition Modeling (FDM) technology work?",Application
16,16,"How does 3D printing bioprinting work? What are some of the benefits it offers for pre-clinical testing, and how can this be used to create more personalized 3D printed oral tablets?",Application
16,17,"What is the key technology that EOS uses in Direct Metal Laser Sintering (DMLS)? How does this differ from Fused Deposition Modeling, and what are some of its applications, including 3D printed models for medical applications?",Application
16,18,"What is the focus of Arcam's main market? What is the purpose of this, and how do they intend to target this sector in terms of their products and services portfolio?",Application
16,19,"What are some of the key benefits that 3D printing technology offers over traditional manufacturing for precision, function, and reliability? What is the purpose of this growth, and what does it indicate about the market size?",Summary
16,20,"What are some of the key applications or products that BioBots offers in the tissue engineering sector? How do its patented Kenzan Method and 3D printed bio materials work, including calcium chloride for curing bioink and BioKey for curing bioink?",Application
17,1,What is the name of the company that designed and owns the Exemplars testing methodology and metrics?,Factual
17,2,How many main categories does the structured approach to defining a product's exemplars have? And what are they?,Factual
17,3,What is the purpose of the three concentric circles in the diagram that maps out the stages of testing for brand experience?,Factual
17,4,What are the three main columns with sub-columns that a structured approach to defining a product's exemplars has? And what do these sub-columns represent?,Factual
17,5,"In the three concentric circles in the image, which circle represents Content Test and what is it divided into?",Factual
17,6,What are the three main columns that a structured approach to defining a product's exemplars has? And what do these sub-columns represent?,Factual
17,7,"According to the diagram, how should a good brand experience for users be characterized?",Factual
17,8,What is the first stage of the process suggested by the image in defining the product's exemplars? And what is the name given to this stage?,Factual
17,9,"The three columns have four quadrants each. What are these quadrants labeled, and which one contains a list of tasks that must be completed to define the product's exemplars?",Factual
17,10,"Which column has metrics for evaluating the value of content formatting, how it extends the value of content categories, and assessing the overall look and feel of a content piece?",Factual
17,11,What are the three main columns that form the base for evaluating the overall brand experience in the image? And what is the value of usability in the context of this evaluation?,Factual
17,12,"What is the purpose behind defining the product's exemplars as per the image, and which stage does it end with according to the timeline or progression suggested by the diagram?",Factual
17,13,The image also includes a logo. Which company is this logo from? And what is the name of the source of the context that it indicates as copyrighted in 2017?,Factual
17,14,What are the three main columns that form the base for evaluating a product's content test? And what metrics does each column have? What is the purpose of each type of metric?,Summary
17,15,"What do you think is the most valuable part of the content in terms of creating a positive brand experience for users according to the image? And what does this sentence mean: ""I am able to use the product easily.""?",Summary
17,16,"What are the five core testing stages and their corresponding metrics suggested by the table for evaluating a product's content, format, and features?",Summary
17,17,"The image suggests that to evaluate the effectiveness of content in various stages of development from test and prioritization to deployment, a good approach is to have three categories: Content Test, Interaction Test, and Service & Delivery Test. What do these categories represent?",Summary
17,18,What are the four main columns that make up the 'Content' column in the table? What is the purpose of each type of metric under this category?,Summary
17,19,"The 'Format and Design' column has metrics for evaluating the value of content formatting, how it extends the value of content categories, assessing typologies for content user-defined categories. What is the purpose of this type of metric?",Summary
17,20,What are the three main columns that form the base for evaluating a product's interaction test? And what metrics does each column have? What is the purpose of each type of metric in this context?,Summary
18,1,What was the purpose of this presentation?,Summary
18,2,"According to this presentation, who would be the largest single party in the UP assembly elections?",Inference
18,3,What is the name of the company or organization responsible for this presentation?,Factual
18,4,What was the main heading in large font on one slide of the presentation?,Summary
18,5,Which color is used for the background and text in this presentation?,Factual
18,6,What does the logo at the bottom of the presentation indicate?,Summary
18,7,On which date was this document published?,Factual
18,8,What is the name of the organization responsible for the presentation or event mentioned on the slide?,Factual
18,9,"According to this context, what was the main focus of this presentation?",Summary
18,10,How would you describe the overall layout of the presentation?,Analytical
18,11,"According to this context, what color was used for the text and background of this presentation?",Factual
18,12,What does the logo at the bottom indicate?,Summary
18,13,Who is the leader of the Samajwadi Party in the context of the pre and post election analysis presented here?,Factual
18,14,"According to this presentation, which party won a massive victory?",Inference
18,15,What was the name of the political alliance with the Bharatiya Janata Party in Punjab as indicated on the map?,Factual
18,16,"According to this presentation, which party won 45 seats in the Punjab legislative assembly in the 2012 election?",Inference
18,17,What does the color blue represent on the map of Punjab?,Factual
18,18,"According to this presentation, which party is expected to form a government in the Rajya Sabha?",Summary
18,19,What is the name of the organization whose logo is displayed at the bottom right corner?,Factual
18,20,What was the title of the presentation mentioned in this context?,Factual
19,1,What is the SWEDD initiative?,Factual
19,2,Who attended the meeting or conference as indicated by the flags at the bottom of the page?,Factual
19,3,"What is the SWEDD component, which has started and developed an action plan, validated by the steering committee?",Factual
19,4,What are the two main priorities for the Sahel countries as described in the context,Analytical
19,5,"According to the context, what is the main focus of the SWEDD initiative?",Summary
19,6,What are some of the challenges that the Sahel countries face as described in the first section of the context,Summary
19,7,"According to the context, what is one of the main priorities for the Sahel region?",Factual
19,8,What are some of the challenges that the Sahel countries face as described in the first section of the context,Summary
19,9,The SWEDD component is focused on improving what?,Factual
19,10,What are some of the challenges that the Sahel countries face as described in the first section of the context,Summary
19,11,"According to the context, how is the SWEDD component focused on improving demand?",Explanation
19,12,What are some of the challenges that the Sahel countries face as described in the first section of the context,Summary
19,13,"According to the second and third sections of the context, what are some of the main steps or actions being taken to improve the supply chain?",Analytical
19,14,What is one of the main ways that the SWEDD component will improve the supply chain as described in the fourth and fifth sections of the context?,Explanation
19,15,"The SWEDD component is focused on improving what, according to the fifth section of the context",Factual
19,16,What are some of the main ways that the Sahel countries can improve their supply chain as described in the fourth and fifth sections of the context,Explanation
19,17,"The SWEDD component will improve the supply chain by focusing on what, according to the sixth section of the context",Factual
19,18,What are some of the main ways that the Sahel countries can improve their supply chain as described in the sixth section of the context,Explanation
19,19,"According to the SWEDD component, what will be the focus at the regional level?",Factual
19,20,What are some of the main ways that the Sahel countries can improve their supply chain as described in the sixth section of the context,Explanation
20,1,What is the title of the first slide?,Factual
20,2,What are the main topics discussed in the slides?,Factual
20,3,Which foundation is responsible for the content of this document?,Factual
20,4,What is the main subject matter of the slides?,Factual
20,5,What are the objectives for today's discussion?,Summary
20,6,"How does the pentavalent market analysis mainly focus on GAVI supply strategies, plannings and the supplier investments in the slides?",Explanation
20,7,Which four strategies are presented to reduce pricing,Summary
20,8,How does the pentavalent market analysis mainly focus on GAVI supply strategies in the slides?,Explanation
20,9,What is the main purpose of the GAVI project also mentioned in the slides?,Summary
20,10,Which four strategies are presented to reduce pricing according to the slide titled 'Four key drivers will determine long-termm (2015+) price'?,Explanation
20,11,Who is responsible for the penta market analysis in the slides?,Factual
20,12,Which four types of drivers are presented to determine long-term pricing according to the slide titled 'Four key drivers will determine long-termm (2015+) price'?,Explanation
20,13,What is the name of the company that analyzed the potential market power of the low-cost EM suppliers according to the slide titled 'Low-Cost EM Suppliers'?,Factual
20,14,How much can a manufacturer margin potentially be reduced to in the long-term if all the volume is shifted to only three lowest cost extended market suppliers according to the slide titled 'Theoretically possible to begin leveraging volume now - more robust data required to assess'?,Factual
20,15,"What is the name of the organization that provided the slides? If known, what year did it provide the document?",Factual
20,16,How much can a manufacturer margin potentially be reduced to in the long-term if all the volume is shifted to only three lowest cost extended market suppliers according to the slide titled 'Four key drivers will determine long-termm (2015+) price'?,Explanation
20,17,"What are the four strategies for reducing margin presented in the slides? If known, what year was this analysis done or when were the slides created?",Summary
20,18,Which four types of drivers are used to determine long-term pricing in the slide titled 'Four key drivers will determine long-termm (2015+) price'?,Explanation
20,19,"What is the main purpose of the slides? If known, what year was this analysis done or when were the slides created?",Factual
20,20,How will a shift to hexa affect GAVI's country plans for transition from penta to hexa according to the slide titled 'Hexa development could influence choice of penta suppliers - more data needed to fully assess'?,Inference
21,1,"What is the purpose of the slides that explain the pentavalent market analysis which mainly focuses on GAVI supply strategies, plannings for upcoming years and the supplier investments?",Factual
21,2,What are the four key drivers that will determine long-term 2015 pricing?,Factual
21,3,"What is the first bullet point on a slide from a presentation, likely used in a business context? What does it suggest about the topic of the presentation?",Analytical
21,4,What are the three main topics covered on a slide with the title 'Contents' at the top? What do these indicate about the content of the slide?,Summary
21,5,What does the second point under a section titled 'Margin example 2' suggest about the market for Measles monovalent vaccine?,Analytical
21,6,"According to the text, what is the first point on a slide that addresses managing market risks in supply chains?",Analytical
21,7,What is the title of an infographic that discusses strategies for mitigating risk in the context of leveraging volume to lower prices? What does this suggest about the content and audience of the image?,Analytical
21,8,"According to a slide from a presentation, what are the three potential ways to reduce price risk in supply chains?",Summary
21,9,What is the title of a column on a slide that discusses strategies for mitigating risk? What does this imply about the purpose of the slide and its audience?,Factual
21,10,"According to a slide from a presentation, what are the potential benefits in the Tender stage? In the Post-tender stage?",Analytical
21,11,What is the main idea behind using a grid as described on an image? What does this suggest about the content and audience of the image?,Factual
21,12,"According to the text, what are the six types of presentations that can be awarded for Measles monovalent vaccine? In 2009, what is the pricing in these markets? What does this suggest about the market dynamics?",Analytical
21,13,What is the title of a slide that addresses managing market risks in supply chains? What are some of its main ideas or strategies for mitigating price risk?,Summary
21,14,"According to an infographic, what does the second point under 'Illustrative Alternatives to Mitigate Risk' suggest about the impact of a shift to EM supply base? What are the two potential illustrations mentioned?",Analytical
21,15,What is the title of the main section on an infographic that categorizes different procurement processes based on the level of formality and informality involved in data collection or interactions with suppliers? What does this suggest about the content and audience of the image?,Factual
21,16,What are the three main sections discussed on an infographic that addresses the topic of multi-dose assessment in the pharmaceutical industry? How do these relate to each other?,Summary
21,17,What is a key point mentioned about the potential impact of a shift to hexa on the supply landscape of pentavalent vaccines? What does this imply about the role that the development of a hexavalent vaccine might have in penta vaccine supply?,Factual
21,18,What is a key point mentioned about an infographic that discusses the topic of multi-dose assessment in the pharmaceutical industry? How does this relate to other ideas presented on the infographic? What do these suggest about the content and audience of the image?,Factual
21,19,What is a key point mentioned about an infographic that addresses the topic of multi-dose assessment in the pharmaceutical industry? How does this relate to other ideas presented on the infographic? What do these suggest about the content and audience of the image?,Factual
21,20,What is the potential impact on the market for penta vaccine suppliers if some suppliers shift their focus from producing penta vaccines to hexa vaccines?,Summary
22,1,How deeply involved is your organization into research into global health?,Factual
22,2,"In what ways do you apply what you learned to your work? What types of data, learnings and takeaways seem useful?",Application
22,3,How likely are you (your staff) to: a) Apply what you learned to your work? b) What ways don't you do? What would be an example?,Factual
22,4,"What sections do you think most clear and easy to understand? Were any sections you felt were unclear? If so, for what reasons?",Application
22,5,"In three words, how would you describe the tone and style of descriptions Why? Why? why? (Probe on expand most interesting)",Factual
22,6,What is anything that surprised you most about conclusions drawn in the content that you read?,Inference
22,7,"Where are any sections that felt out of place to you? If so, why? In what way?",Application
22,8,"Overall, what would you compare the content on this site to other online global health resources? In What ways are they different? How are they similar?",Comparison
22,9,"Did you find the video useful in giving you more confident understanding of the topic? Is so, in what ways? If not, why?",Application
22,10,"Did the downloadable resources appear to be used to you? Was on the Stunning Concept Framework (Key Learnings) something you can work with? So, what ways?",Summary
22,11,"Was the Stunning conceptual page (played in a way that gave you a lot of information about learning and takeaways) successful different in your work? If so, what was it?",Explanation
22,12,What additional resources would you have liked to see that you didn't see available on the site? What purpose do you think they would serve?,Application
22,13,How likely are you (your staff) to: a) Apply what you learned to your work? b) What ways don't you do? What would be an example?,Application
22,14,What sections do you think most clear and easy to understand?,Summary
22,15,"Were any sections you felt were unclear? If so, for what reasons?",Application
22,16,"In three words, how would you describe the tone and style of descriptions Why? Why? why? (Probe on expand most interesting)",Factual
22,17,What is anything that surprised you most about conclusions drawn in the content that you read?,Inference
22,18,"Where are any sections that felt out of place to you? If so, why? In what way?",Application
22,19,"Overall, what would you compare the content on this site to other online global health resources? In What ways are they different? How are they similar?",Comparison
22,20,"Did you find the video useful in giving you more confident understanding of the topic? Is so, in what ways? If not, why?",Application
22,21,"Did the downloadable resources appear to be used to you? Was on the Stunning Concept Framework (Key Learnings) something you can work with? So, what ways?",Summary
22,22,"Was the Stunning conceptual page (played in a way that gave you a lot of information about learning and takeaways) successful different in your work? If so, what was it?",Explanation
22,23,What additional resources would you have liked to see that you didn't see available on the site? What purpose do you think they would serve?,Application
23,1,What was the main concept that Bill and Melinda Gates Foundation supported in 2013?,Factual
23,2,What is the main focus of the 'GH Drug Accelerator' as mentioned in the context?,Factual
23,3,In which year was the concept of 'GH Drug Accelerator' introduced?,Factual
23,4,What is the logo at the bottom right corner of the image indicating the organization that supported this concept?,Factual
23,5,The concept of 'GH Drug Accelerator' was introduced in which year and what is the main goal of this initiative?,Analytical
23,6,What are the diseases that the drug pipeline is insufficient for as per the context?,Summary
23,7,"What is the framework in which the 'GH Drug Accelerator' concept can be seen as being presented to an audience, possibly during a presentation or meeting of the foundation?",Summary
23,8,The four quadrants that are used in this conceptual framework are what and why were they so named?,Explanation
23,9,What is the goal for the 'GH Drug Accelerator' as mentioned in the context?,Summary
23,10,The approach to speed up the drug development process involves harnessing what and organizing which capabilities?,Explanation
23,11,What are the PSTD/PD priorities mentioned as part of the 'Approach' in the framework for 'GH Drug Accelerator' that is expected to lead to improvements at each stage of the drug discovery and development pipeline?,Summary
23,12,The expected outcomes from the 'Approach' in the conceptual framework include what by what time?,Explanation
23,13,"What are the four quadrants that make up the conceptual framework for the 'GH Drug Accelerator', and what is the purpose of each quadrant?",Summary
23,14,"The two main approaches to drug discovery in the infographic include what on either side, with what colors?",Summary
23,15,What are the three circular nodes that represent stages of drug discovery in the disease-relevant assays section of the infographic?,Summary
23,16,This section is color coded primarily with what two colors?,Comparison
23,17,"What are the three circular nodes on the left side of the infographic, and which diseases do they represent?",Factual
23,18,This section is color coded primarily with what two colors?,Comparison
23,19,The main theme that this slide is based on to streamline the drug development process is what and what is its goal as mentioned in the context?,Explanation
23,20,"What are the three circular nodes on the right side of the infographic, and which chemistry types do they represent?",Factual
24,1,What is the origin of pooled funds?,Factual
24,2,Who manages the Pooled Fund (PBS)?,Factual
24,3,How was the funding for Phase 2 of PBS allocated?,Factual
24,4,What is the role of donors in managing the pooled funds?,Factual
24,5,Why did the US Government have difficulty coordinating with other donors on IHP+ process?,Factual
24,6,What are the benefits that Protik (Suprotik) and Tedros expect from the IHP+ process?,Factual
24,7,Summarize the background and overview of the UN Special Envoy for Malaria as described by Suprotik Basu in his interview with Adrien de Chaismartin and Tara Azimi.,Summary
24,8,Explain how donors are aligned on funding for the gaps identified by Tedros.,Explanation
24,9,What are the differences in donor coordination facilitated by IHP and HPN?,Comparison
24,10,How does Protik think Tedros' strong position facilitates better alignment among donors?,Inference
24,11,What are the major differences between Phase 1 and Phase 2 of Pooled Funds?,Summary
24,12,How does Tedros' leadership help to facilitate donor coordination on IHP+ process?,Application
24,13,Why is the US Government perceived as out of the loop in HPN?,Inference
24,14,What are the main reasons for Protik's suggestion that IHP+ will bring two benefits?,Summary
24,15,How does Tedros' leadership facilitate donors' better alignment on funding and what gaps does it fill?,Application
24,16,What is the major difference between how FMOH and PEPFAR engage the donor community?,Inference
24,17,How does IHP+ process facilitate better coordination among donors?,Summary
24,18,What are the differences in donors' perception of value-add from IHP and IHP+ processes?,Inference
24,19,Is it true that all donors seem skeptical about an expected increase in funding for the IHP+ process?,Evaluation
24,20,How does Suprotik (Protik) think that a donor like BMGF can bring to scale new interventions through its investment and support to HEWs?,Synthesis
25,1,What is the name of the agency that receives budget authority from the Congress and other agencies?,Factual
25,2,What is the name of the President's Malaria Initiative announced in 2005 by which the USAID achieved a reduction in infant mortality rates in six countries,Factual
25,3,When was the Foreign Assistance Act signed into law?,Factual
25,4,How many countries were helped by the USAID to transition to a market-based economy between 1992 and 2015,Factual
25,5,"What is the name of the initiative that helps in developing sustainable natural resource management through policies on land tenure related to forests, wildlife, or water?",Factual
25,6,What is the percentage reduction in under-5 mortality USAID achieved in their priority countries by 2015,Factual
25,7,Who was the President of the United States when he signed the Foreign Assistance Act into law?,Factual
25,8,"What is the name of the organization that USAID works with to address global health challenges, such as the COVID-19 pandemic and other zoonotic diseases?",Factual
25,9,"What is the name of the organization in which the USAID plays a key role in addressing global health challenges, such as the COVID-19 pandemic and other zoonotic diseases?",Factual
25,10,What is the name of the initiative that helps to reduce the impact of HIV/AIDS on human health and social stability,Factual
25,11,How many countries have been helped by the USAID since 1992?,Factual
25,12,What is the name of the initiative that helps in reducing the impact on human health and social stability,Factual
25,13,"The USAID has provided what number of people to access sustainable water supply, and sanitation facilities between 1992 and 2015?",Factual
25,14,What is the name of the initiative that helps in reducing the risk of natural disasters,Factual
25,15,Who was the first interim Administrator of the USAID appointed by the President?,Factual
25,16,When was the USAID founded,Factual
25,17,Who is the current interim Administrator of the USAID?,Factual
25,18,What are the three key pillars that comprise the USAID's climate program,Analytical
25,19,How many projects did the USAID execute between 1992 and 2015?,Factual
25,20,What are the three main sections of the USAID's approach to disaster assistance,Analytical
26,1,What is MomConnect?,Factual
26,2,"Which initiative was launched by the South African National Department of Health (NDOH) to improve the health of pregnant women, newborns and infants at national scale?",Factual
26,3,How does MomConnect use mobile technology to improve the health of pregnant women in South Africa?,Factual
26,4,In what way can a woman register for the services offered by MomConnect?,Factual
26,5,How does the registration process take place at a clinic and who facilitates it? What role do health networks play in this process?,Factual
26,6,What is the purpose of the registration for MomConnect messaging? How does the registration link to facility?,Factual
26,7,What information do pregnant women get via the stage-based messaging offered by MomConnect? Up to what age is this information relevant and why?,Factual
26,8,"Who can register for MomConnect services besides the expectant mother, and which department of Health provides these services?",Factual
26,9,What are the two ways that a woman can rate her service at a clinic? What is the purpose of these ratings?,Factual
26,10,"Who has access to all decision makers who get real time information on pregnancy registration, service rating and helpline data?",Factual
26,11,What are the five modules that support the MomConnect services for expectant mothers? What is the purpose of these modules?,Factual
26,12,What is the first step that a nurse must do in order to sign up a woman for MomConnect messages? Who helps her with this process and how does she do it? How does registration happen across different clinics?,Factual
26,13,"What is the purpose of the USSD menu in the first module for registration, according to which every woman can get free information and also send a question to a health expert?",Factual
26,14,Why do nurses have access to an SMS helpdesk with messages that are tailored to clinical and psycho-social support? What is the purpose of these messages for nurses?,Factual
26,15,"What is the purpose of the Service Rating module, according to which every service provider must get a rating from the mother she has attended in an antenatal clinic? How are the ratings linked to the nurse and what happens when a compliment or complaint is received?",Factual
26,16,What is the purpose of the Service Rating module? Why must every service provider get a rating from the mother they have attended in an antenatal clinic? How are the ratings linked to the nurse and what happens when a compliment or complaint is received?,Factual
26,17,"What information can a registered MomConnect user receive, besides being informed about how to care for herself while pregnant, when to visit the clinic and how to prepare for birth? How long does this information remain relevant?",Factual
26,18,What is the purpose of the Service Rating module? Why must every service provider get a rating from the mother they have attended in an antenatal clinic? How are the ratings linked to the nurse and what happens when a compliment or complaint is received?,Factual
26,19,"What role do all health service members (including nurses, midwives, doctors etc) play in registering for MomConnect messages? What does the Service Rating module do and how are the ratings linked to the nurse?",Factual
26,20,"What are some of the features that support nurses and central data repositories, besides allowing them to view real time information on pregnancy registration, service rating and helpline data at a national, provincial, district and clinic level?",Factual
27,1,What is the primary focus of David Pelletier's work in Ethiopia and Bangladesh?,Factual
27,2,What were the two key challenges that the country-owners encountered when developing a multi-sectoral plan for scaling up nutrition interventions?,Factual
27,3,Why is it important to assess a country's implementation capacity before making decisions on what and how much resources to invest in any given intervention?,Explanation
27,4,"What are the primary steps that David's society has taken to document the contextual factors for an effective scale-up of nutrition interventions in Vietnam, Bangladesh and Ethiopia as well as other countries?",Explanation
27,5,How is it possible to make a country-adopted and country-led process work with multiple partners and donors involved in different parts of the process?,Application
27,6,What are the two important components that David's society has worked on during its recent international meetings to boil down the information needed for a proposal from the minister of health and other officials into a more easily digested format?,Factual
27,7,"What are the three main goals that David's society is working towards in terms of the global hub for nutrition interventions, which was conceived at Cornell University?",Factual
27,8,"How has the country-owners' process been shaped by their experiences with the Scaling Up Nutrition (SUN) movement, and what are the main outcomes that David's society hopes to see in 2017 for this effort?",Application
27,9,"What were some of the key findings and recommendations from the Lancet article about the Scaling Up Nutrition (SUN) initiative in 2008, when it was first launched by UNICEF? How did the SUN movement respond to these criticisms?",Summary
27,10,What is the range of decisions that are involved during the process of creating a proposal for a country-adopted and country-led multi-sectoral plan for scaling up nutrition interventions?,Factual
27,11,"How does the country's implementation capacity affect the knowledge that is needed to successfully implement any given intervention, in David's perspective?",Explanation
27,12,What were some of the specific challenges that the secretaries for the ministries of health or the equivalent office faced during their monthly and bi-yearly meetings on taking decisions related to the country-adopted and country-led process for scaling up nutrition interventions?,Summary
27,13,"What was the initial approach of the Foundation to support the country-owners' efforts in Vietnam, Bangladesh and Ethiopia? What were some positive outcomes from this support that David's staff documented?",Factual
27,14,Why is it important for a country to have a good understanding of its own capacity to implement any given intervention before it decides on the kind of actions it should take or the interventions that are required in order to achieve a specific goal?,Explanation
27,15,What was the purpose behind David's society convening government officials and other partner organizations from different sectors in the same room during its recent international meeting to discuss how they can work together on scaling up nutrition interventions?,Application
27,16,"Why is it important for the staff to document the contextual information about implementation realities and the number and skill level of lower ranking staff at a country level, in David's perspective?",Explanation
27,17,What were some of the differences between the way the Foundation approached its work with UNICEF and the World Bank? How did these different relationships influence the kinds of decisions that each made about what kind of actions to take or the interventions they supported?,Contrast
27,18,How is it possible for countries to share the information they have gathered from their own contextual assessments with other SUN member-countries and how does David think this process will proceed in 2017?,Application
27,19,"What are the three main components that the knowledge function encompasses, in David's perspective? Why is this model important for a country-adopted and country-led approach to scaling up nutrition interventions?",Explanation
27,20,"How would you summarize the challenges that the country-owners' process of developing multi-sectoral plans has faced so far in terms of David's perspective? What are some of the most promising areas for positive change and improvement as a result of this experience, in his opinion?",Summary
28,1,What is the primary purpose of David Pelletier's staff?,Factual
28,2,How do David's staff get to know other actors in the SUN movement at the country level?,Factual
28,3,What is the first step that a permanent secretary does when they meet twice a year to take policy decisions as per David's observation?,Factual
28,4,Which country started to create a multi-organizational nutrition working group for decision-making in its ministry? (according to David),Factual
28,5,Who are the main informants that David's staff consult while they're doing research on a country?,Factual
28,6,What is the purpose of creating a PPT document for an international meeting in the view of David Pelletier?,Factual
28,7,"According to David, who gives confidence to UNICEF or World Bank staff to plan and implement a project at the country level? (Select one: government people from various sectors or NGOs)",Factual
28,8,What is the main purpose of creating a 'war room' in David's office?,Factual
28,9,"In what countries does SUN movement have an annual meeting to share lessons? (Select one: all, some or none)",Factual
28,10,"According to David, how often do the permanent secretaries meet to take policy decisions?",Factual
